"Id","UnitId","Filename","SchoolCode","Created","CreatedBy","Uploaded","UploadedBy"
"186","128","journal.HA.201605050943559265.txt","17","2016-05-05 09:44:18","lisas","2016-05-05 09:46:59","lisas"
"187","80","journal.AG.201606020733314742.txt","01","2016-06-02 07:33:58","wipurft","2016-06-02 07:34:11","wipurft"
"188","126","journal.SS.201606031001269217.txt","19","2016-06-03 10:01:55","mclaughl","2016-06-03 10:05:28","mclaughl"
"189","128","journal.HA.201606061149597339.txt","17","2016-06-06 11:50:35","lisas","2016-06-06 11:56:03","lisas"
"190","126","journal.SS.201607011031239005.txt","19","2016-07-01 10:31:46","jnschafe","2016-07-01 10:37:28","jnschafe"
"191","80","journal.AG.201607021153203661.txt","01","2016-07-02 11:54:11","wipurft","2016-07-13 10:13:38","taylorkj"
"192","128","journal.HA.201607050928559034.txt","17","2016-07-05 09:29:23","lisas","2016-07-05 09:36:23","lisas"
"193","128","journal.HA.201607121356013390.txt","17","2016-07-12 13:56:16","lisas","2016-07-12 13:58:31","lisas"
"194","128","journal.HA.201607131606235786.txt","17","2016-07-13 16:06:51","lisas","",""
"195","80","journal.AG.201607140944496384.txt","01","2016-07-14 09:45:07","wipurft","2016-07-14 09:45:40","wipurft"
"196","80","journal.AG.201608011022583641.txt","01","2016-08-01 10:23:01","wipurft","2016-08-01 10:23:14","wipurft"
"197","128","journal.HA.201608080921417772.txt","17","2016-08-08 09:21:43","lisas","2016-08-08 09:25:22","lisas"
"198","126","journal.SS.201608081415223545.txt","19","2016-08-08 14:15:28","jnschafe","2016-08-08 14:29:41","jnschafe"
"199","80","journal.AG.201609020736379393.txt","01","2016-09-02 07:36:58","wipurft","2016-09-02 07:37:17","wipurft"
"200","128","journal.HA.201609061329189391.txt","17","2016-09-06 13:29:23","lisas","2016-09-06 13:31:21","lisas"
"201","126","journal.SS.201609070914354870.txt","19","2016-09-07 09:14:40","mclaughl","2016-09-07 09:19:25","mclaughl"
"202","128","journal.HA.201609071005478514.txt","17","2016-09-07 10:05:52","lisas","",""
"203","128","journal.HA.201609071006241713.txt","17","2016-09-07 10:06:25","lisas","2016-09-07 10:07:59","lisas"
"204","80","journal.AG.201610030645491780.txt","01","2016-10-03 06:46:02","wipurft","2016-10-03 06:46:24","wipurft"
"205","126","journal.SS.201610031019471360.txt","19","2016-10-03 10:19:54","mclaughl","2016-10-03 10:28:35","mclaughl"
"206","80","journal.AG.201610051537404513.txt","01","2016-10-05 15:37:45","taylorkj","",""
"207","80","journal.AG.201610051542104923.txt","01","2016-10-05 15:42:11","taylorkj","",""
